time,q,dq,u
13.112000000001048,0.45556809649344365,-0.3880702306805492,2.0
13.114000000001049,0.4547878209200729,-0.3922029263387179,2.0
13.11600000000105,0.4539992945065463,-0.39632104434850673,2.0
13.11800000000105,0.4532025465669633,-0.4004244259700735,2.0
13.12000000000105,0.4523976067325241,-0.40451291284341284,2.0
13.122000000001051,0.4515845049507645,-0.40858634699385515,2.0
13.124000000001052,0.45076327148477974,-0.4126445708375964,2.0
13.126000000001053,0.4499339369124371,-0.41668742718725893,2.0
13.128000000001053,0.4490965321255776,-0.4207147592574831,2.0
13.130000000001054,0.4482510883292062,-0.4247264106705497,2.0
13.132000000001055,0.447397637040671,-0.42872222546203337,2.0
13.134000000001055,0.44653621008883093,-0.4327020480864858,2.0
13.136000000001056,0.44566683961321213,-0.43666572342315024,2.0
13.138000000001057,0.4447895580631526,-0.44061309678170524,2.0
13.140000000001058,0.443904398196936,-0.4445440139080393,2.0
13.142000000001058,0.4430113930809129,-0.44845832099005506,2.0
13.144000000001059,0.4421105760886114,-0.45235586466350275,2.0
13.14600000000106,0.44120198089983514,-0.4562364920178439,2.0
13.14800000000106,0.4402856414997505,-0.4601000506021436,2.0
13.15000000000106,0.43936159217796106,-0.4639463884309921,2.0
13.152000000001062,0.4384298675275707,-0.4677753539904552,2.0
13.154000000001062,0.4374905024442347,-0.4715867962440528,2.0
13.156000000001063,0.4365435321251989,-0.47538056463876593,2.0
13.158000000001064,0.43558899206832674,-0.4791565091110719,2.0
13.160000000001064,0.43462691807111403,-0.48291448009300636,2.0
13.162000000001065,0.433657346229692,-0.4866543285182537,2.0
13.164000000001066,0.43268031293781767,-0.49037590582826335,2.0
13.166000000001066,0.4316958548858524,-0.4940790639783937,2.0
13.168000000001067,0.4307040090597276,-0.49776365544408147,2.0
13.170000000001068,0.42970481273989874,-0.5014295332270376,2.0
13.172000000001068,0.4286983035002863,-0.5050765508614686,2.0
13.174000000001069,0.4276845192072048,-0.5087045624203228,2.0
13.17600000000107,0.4266634980182787,-0.5123134225215613,2.0
13.17800000000107,0.42563527838134635,-0.5159029863344539,2.0
13.18000000000107,0.42459989903335105,-0.519473109585898,2.0
13.182000000001072,0.42355739899921935,-0.5230236485667621,2.0
13.184000000001072,0.4225078175907268,-0.526554460138251,2.0
13.186000000001073,0.4214511944053509,-0.5300654017382948,2.0
13.188000000001074,0.4203875693251111,-0.5335563313879588,2.0
13.190000000001074,0.41931698251539645,-0.5370271076978761,2.0
13.192000000001075,0.41823947442377957,-0.5404775898747005,2.0
13.194000000001076,0.4171550857788185,-0.5439076377275802,2.0
13.196000000001076,0.416063857588845,-0.5473171116746516,2.0
13.198000000001077,0.41496583114074026,-0.5507058727495523,2.0
13.200000000001078,0.41386104799869705,-0.5540737826079536,2.0
13.202000000001078,0.41274955000296953,-0.5574207035341108,2.0
13.204000000001079,0.4116313792686091,-0.5607464984474315,2.0
13.20600000000108,0.41050657818418784,-0.5640510309090615,2.0
13.20800000000108,0.40937518941050827,-0.5673341651284864,2.0
13.21000000000108,0.40823725587930004,-0.5705957659701505,2.0
13.212000000001082,0.40709282079190345,-0.5738356989600895,2.0
13.214000000001082,0.4059419276179396,-0.5770538302925794,2.0
13.216000000001083,0.4047846200939673,-0.5802500268367989,2.0
13.218000000001084,0.4036209422221264,-0.5834241561435051,2.0
13.220000000001084,0.40245093826876827,-0.5865760864517221,2.0
13.222000000001085,0.40127465276307217,-0.5897056866954423,2.0
13.224000000001086,0.400092130495649,-0.592812826510338,2.0
13.226000000001086,0.39890341651713096,-0.5958973762404847,2.0
13.228000000001087,0.3977085561367481,-0.5989592069450941,2.0
13.230000000001088,0.3965075949208912,-0.6019981904052564,2.0
13.232000000001088,0.3953005786916615,-0.6050141991306911,2.0
13.234000000001089,0.39408755352540653,-0.608007106366506,2.0
13.23600000000109,0.3928685657512424,-0.6109767860999629,2.0
13.23800000000109,0.3916436619495631,-0.6139231130672497,2.0
13.240000000001091,0.3904128889505356,-0.6168459627602586,2.0
13.242000000001092,0.3891762938325817,-0.6197452114333685,2.0
13.244000000001092,0.3879339239208463,-0.6226207361102316,2.0
13.246000000001093,0.3866858267856521,-0.6254724145905636,2.0
13.248000000001094,0.3854320502409407,-0.6283001254569356,2.0
13.250000000001094,0.3841726423426999,-0.6311037480815687,2.0
13.252000000001095,0.3829076513873778,-0.6338831626331284,2.0
13.254000000001096,0.38163712591028315,-0.6366382500835196,2.0
13.256000000001096,0.3803611146839719,-0.6393688922146805,2.0
13.258000000001097,0.3790796667166204,-0.6420749716253751,2.0
13.260000000001098,0.3777928312503851,-0.6447563717379827,2.0
13.262000000001098,0.37650065775974834,-0.6474129768052846,2.0
13.264000000001099,0.37520319594985085,-0.6500446719172464,2.0
13.2660000000011,0.3739004957548106,-0.6526513430077944,2.0
13.2680000000011,0.3725926073360281,-0.6552328768615877,2.0
13.270000000001101,0.37127958108047826,-0.6577891611207819,2.0
13.272000000001102,0.3699614675989884,-0.6603200842917857,2.0
13.274000000001102,0.36863831772450323,-0.6628255357520086,2.0
13.276000000001103,0.36731018251033604,-0.6653054057565998,2.0
13.278000000001104,0.3659771132284064,-0.6677595854451756,2.0
13.280000000001104,0.3646391613674647,-0.6701879668485359,2.0
13.282000000001105,0.3632963786313028,-0.6725904428953691,2.0
13.284000000001106,0.3619488169369519,-0.6749669074189426,2.0
13.286000000001106,0.3605965284128664,-0.6773172551637803,2.0
13.288000000001107,0.3592395653970948,-0.679641381792324,2.0
13.290000000001108,0.3578779804354374,-0.6819391838915801,2.0
13.292000000001108,0.35651182627959027,-0.6842105589797481,2.0
13.294000000001109,0.3551411558852765,-0.6864554055128322,2.0
13.29600000000111,0.35376602241036376,-0.6886736228912338,2.0
13.29800000000111,0.3523864792129691,-0.6908651114663239,2.0
13.300000000001111,0.3510025798495504,-0.6930297725469957,2.0
13.302000000001112,0.34961437807298473,-0.6951675084061946,2.0
13.304000000001112,0.3482219278306338,-0.697278222287426,2.0
13.306000000001113,0.3468252832623965,-0.69936181841124,2.0
13.308000000001114,0.3454244986987479,-0.7014182019816909,2.0
13.310000000001114,0.3440196286587664,-0.7034472791927715,2.0
13.312000000001115,0.34261072784814695,-0.7054489572348212,2.0
13.314000000001116,0.34119785115720214,-0.707423144300906,2.0
13.316000000001116,0.33978105365885053,-0.7093697495931715,2.0
13.318000000001117,0.33836039060659195,-0.7112886833291648,2.0
13.320000000001118,0.3369359174324705,-0.7131798567481279,2.0
13.322000000001118,0.3355076897450249,-0.7150431821172583,2.0
13.324000000001119,0.3340757633272262,-0.7168785727379383,2.0
13.32600000000112,0.33264019413440366,-0.7186859429519313,2.0
13.32800000000112,0.33120103829215713,-0.720465208147543,2.0
13.330000000001121,0.3297583520942584,-0.7222162847657483,2.0
13.332000000001122,0.3283121920005395,-0.7239390903062819,2.0
13.334000000001122,0.32686261463476923,-0.7256335433336919,2.0
13.336000000001123,0.32540967678251737,-0.7272995634833552,2.0
13.338000000001124,0.3239534353890072,-0.7289370714674546,2.0
13.340000000001124,0.322493947556956,-0.7305459890809146,2.0
13.342000000001125,0.3210312705444032,-0.7321262392072985,2.0
13.344000000001126,0.319565461762528,-0.7336777458246615,2.0
13.346000000001126,0.3180965787734538,-0.7352004340113625,2.0
13.348000000001127,0.3166246792880424,-0.7366942299518315,2.0
13.350000000001128,0.31514982116367574,-0.7381590609422932,2.0
13.352000000001128,0.31367206240202694,-0.7395948553964438,2.0
13.354000000001129,0.31219146114681945,-0.741001542851082,2.0
13.35600000000113,0.3107080756815753,-0.7423790539716931,2.0
13.35800000000113,0.30922196442735245,-0.7437273205579839,2.0
13.360000000001131,0.3077331859404705,-0.7450462755493683,2.0
13.362000000001132,0.30624179891022596,-0.7463358530304036,2.0
13.364000000001132,0.3047478621565967,-0.7475959882361749,2.0
13.366000000001133,0.30325143462793536,-0.7488266175576277,2.0
13.368000000001134,0.30175257539865247,-0.7500276785468479,2.0
13.370000000001134,0.3002513436668888,-0.751199109922288,2.0
13.372000000001135,0.2987477987521777,-0.7523408515739379,2.0
13.374000000001136,0.2972420000930966,-0.7534528445684414,2.0
13.376000000001136,0.2957340072449088,-0.7545350311541552,2.0
13.378000000001137,0.294223879877195,-0.7555873547661511,2.0
13.380000000001138,0.29271167777147494,-0.7566097600311605,2.0
13.382000000001138,0.29119746081881914,-0.757602192772459,2.0
13.384000000001139,0.289681289017451,-0.7585646000146917,2.0
13.38600000000114,0.28816322247033926,-0.7594969299886382,2.0
13.38800000000114,0.28664332138278115,-0.7603991321359153,2.0
13.390000000001141,0.2851216460599758,-0.7612711571136183,2.0
13.392000000001142,0.28359825690458895,-0.7621129567988986,2.0
13.394000000001142,0.2820732144143082,-0.7629244842934774,2.0
13.396000000001143,0.2805465791793894,-0.7637056939280952,2.0
13.398000000001144,0.2790184118801943,-0.7644565412668954,2.0
13.400000000001144,0.2774887732847192,-0.7651769831117421,2.0
13.402000000001145,0.27595772424611564,-0.7658669775064701,2.0
13.404000000001146,0.27442532570020184,-0.7665264837410685,2.0
13.406000000001146,0.27289163866296656,-0.7671554623557939,2.0
13.408000000001147,0.27135672422806434,-0.7677538751452168,2.0
13.410000000001148,0.26982064356430296,-0.7683216851621957,2.0
13.412000000001148,0.2682834579131229,-0.7688588567217824,2.0
13.414000000001149,0.26674522858606925,-0.7693653554050551,2.0
13.41600000000115,0.2652060169622557,-0.7698411480628791,2.0
13.41800000000115,0.26366588448582134,-0.7702862028195957,2.0
13.420000000001151,0.2621248926633801,-0.7707004890766376,2.0
13.422000000001152,0.26058310306146304,-0.7710839775160695,2.0
13.424000000001152,0.25904057730395347,-0.771436640104055,2.0
13.426000000001153,0.2574973770695155,-0.7717584500942478,2.0
13.428000000001154,0.2559535640890156,-0.7720493820311071,2.0
13.430000000001154,0.25440920014293794,-0.7723094117531359,2.0
13.432000000001155,0.25286434705879296,-0.7725385163960438,2.0
13.434000000001156,0.25131906670851983,-0.7727366743958302,2.0
13.436000000001156,0.24977342100588296,-0.7729038654917906,2.0
13.438000000001157,0.2482274719038624,-0.7730400707294439,2.0
13.440000000001158,0.24668128139203863,-0.7731452724633802,2.0
13.442000000001158,0.24513491149397149,-0.7732194543600283,2.0
13.444000000001159,0.24358842426457392,-0.7732626014003439,2.0
13.44600000000116,0.24204188178748023,-0.7732746998824165,2.0
13.44800000000116,0.2404953461724093,-0.7732557374239944,2.0
13.450000000001161,0.23894887955252284,-0.773205702964929,2.0
13.452000000001162,0.23740254408177872,-0.7731245867695355,2.0
13.454000000001162,0.23585640193227986,-0.7730123804288728,2.0
13.456000000001163,0.23431051529161848,-0.7728690768629379,2.0
13.458000000001164,0.23276494636021608,-0.7726946703227792,2.0
13.460000000001164,0.23121975734865932,-0.7724891563925238,2.0
13.462000000001165,0.22967501047503192,-0.7722525319913219,2.0
13.464000000001166,0.22813076796224266,-0.7719847953752061,2.0
13.466000000001166,0.22658709203534996,-0.7716859461388651,2.0
13.468000000001167,0.22504404491888277,-0.771355985217333,2.0
13.470000000001168,0.22350168883415827,-0.770994914887592,2.0
13.472000000001168,0.22196008599659647,-0.7706027387700899,2.0
13.474000000001169,0.2204192986130318,-0.7701794618301707,2.0
13.47600000000117,0.218879388879022,-0.7697250903794189,2.0
13.47800000000117,0.21734041897615433,-0.7692396320769166,2.0
13.480000000001171,0.2158024510693494,-0.7687230959304139,2.0
13.482000000001172,0.21426554730416275,-0.768175492297412,2.0
13.484000000001172,0.21272976980408437,-0.7675968328861583,2.0
13.486000000001173,0.21119518066783616,-0.7669871307565542,2.0
13.488000000001174,0.20966184196666796,-0.7663464003209747,2.0
13.490000000001174,0.2081298157416517,-0.7656746573449995,2.0
13.492000000001175,0.20659916400097444,-0.764971918948057,2.0
13.494000000001176,0.20506994871723008,-0.7642382036039785,2.0
13.496000000001176,0.20354223182471,-0.7634735311414647,2.0
13.498000000001177,0.20201607521669307,-0.7626779227444629,2.0
13.500000000001178,0.20049154074273468,-0.7618514009524565,2.0
13.502000000001178,0.1989686902059556,-0.7609939896606643,2.0
13.504000000001179,0.1974475853603303,-0.7601057141201519,2.0
13.50600000000118,0.19592828790797528,-0.7591866009378535,2.0
13.50800000000118,0.19441085949643735,-0.758236678076505,2.0
13.510000000001181,0.19289536171598212,-0.757255974854488,2.0
13.512000000001182,0.19138185609688302,-0.756244521945585,2.0
13.514000000001182,0.1898704041067108,-0.7552023513786449,2.0
13.516000000001183,0.18836106714762377,-0.7541294965371602,2.0
13.518000000001184,0.18685390655365902,-0.7530259921587551,2.0
13.520000000001184,0.1853489835880248,-0.7518918743345839,2.0
13.522000000001185,0.183846359440394,-0.750727180508642,2.0
13.524000000001186,0.18234609522419945,-0.7495319494769864,2.0
13.526000000001186,0.1808482519739304,-0.7483062213868695,2.0
13.528000000001187,0.17935289064243123,-0.7470500377357823,2.0
13.530000000001188,0.177860072098202,-0.7457634413704104,2.0
13.532000000001188,0.17636985712270112,-0.744446476485502,2.0
13.534000000001189,0.1748823064076504,-0.7430991886226463,2.0
13.53600000000119,0.17339748055234275,-0.7417216246689657,2.0
13.53800000000119,0.1719154400609525,-0.7403138328557186,2.0
13.540000000001191,0.17043624533984847,-0.7388758627568159,2.0
13.542000000001192,0.1689599566949104,-0.7374077652872494,2.0
13.544000000001192,0.16748663432884828,-0.735909592701433,2.0
13.546000000001193,0.1660163383385253,-0.7343813985914575,2.0
13.548000000001194,0.16454912871228436,-0.7328232378852585,2.0
13.550000000001194,0.16308506532727818,-0.7312351668446977,2.0
13.552000000001195,0.1616242079468035,-0.7296172430635581,2.0
13.554000000001196,0.16016661621763933,-0.727969525465454,2.0
13.556000000001196,0.15871234966738945,-0.7262920743016544,2.0
13.558000000001197,0.15726146770182925,-0.7245849511488224,2.0
13.560000000001198,0.1558140296022574,-0.7228482189066686,2.0
13.562000000001198,0.15437009452285214,-0.721081941795521,2.0
13.564000000001199,0.15292972148803247,-0.7192861853538098,2.0
13.5660000000012,0.15149296938982462,-0.7174610164354694,2.0
13.5680000000012,0.15005989698523367,-0.7156065032072559,2.0
13.570000000001201,0.14863056289362064,-0.7137227151459824,2.0
13.572000000001202,0.14720502559408527,-0.7118097230356712,2.0
13.574000000001202,0.14578334342285446,-0.7098675989646243,2.0
13.576000000001203,0.14436557457067672,-0.7078964163224113,2.0
13.578000000001204,0.14295177708022277,-0.7058962497967772,2.0
13.580000000001204,0.14154200884349225,-0.7038671753704678,2.0
13.582000000001205,0.14013632759922703,-0.701809270317976,2.0
13.584000000001206,0.13873479093033103,-0.6997226132022074,2.0
13.586000000001206,0.1373374562612968,-0.6976072838710665,2.0
13.588000000001207,0.1359443808556389,-0.6954633634539642,2.0
13.590000000001208,0.13455562181333464,-0.6932909343582466,2.0
13.592000000001208,0.13317123606827166,-0.6910900802655461,2.0
13.59400000000121,0.1317912803857032,-0.6888608861280544,2.0
13.59600000000121,0.1304158113597107,-0.6866034381647194,2.0
13.59800000000121,0.12904488541067416,-0.6843178238573651,2.0
13.600000000001211,0.1276785587827504,-0.682004131946736,2.0
13.602000000001212,0.12631688754135909,-0.6796624524284663,2.0
13.604000000001212,0.12495992757067723,-0.6772928765489742,2.0
13.606000000001213,0.12360773457114166,-0.6748954968012818,2.0
13.608000000001214,0.1222603640569601,-0.6724704069207621,2.0
13.610000000001214,0.12091787135363079,-0.6700177018808128,2.0
13.612000000001215,0.11958031159547078,-0.6675374778884574,2.0
13.614000000001216,0.1182477397231532,-0.6650298323798751,2.0
13.616000000001216,0.11692021048125342,-0.662494864015859,2.0
13.618000000001217,0.11559777841580447,-0.6599326726772043,2.0
13.620000000001218,0.11428049787186166,-0.6573433594600266,2.0
13.622000000001218,0.11296842299107672,-0.6547270266710102,2.0
13.62400000000122,0.11166160770928144,-0.6520837778225889,2.0
13.62600000000122,0.11036010575408106,-0.6494137176280579,2.0
